排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,RSI14,距20EMA%,5日報酬%,淘汰原因
251,3044,健鼎,TWSE,電子零組件業,等待轉強,52.2,100,426,422,41.97,30.8,18.34,43.71,185.42,5.61,20.7,3.84,2.98,25,134,212,315,-6759,-8929,-66,-213,-2095,-6622,50.2,-132,-1386,1277,5651,-120,-1418,1241,33.17,-11.8,-10.41,中期趨勢仍向下；主動ETF 5日轉為減碼；三大法人5/10日同步賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
252,9941,裕融,TWSE,其他,等待轉強,52.1,100,82.7,84.2,-4,-2.42,14.5,85.28,99.11,1.82,12.11,1.34,5.54,6,-6,-6,-9,-26,-1200,0,467,855,2749,5.02,87,733,1091,2542,454,836,2754,57.6,1.85,0.98,累計營收負成長且當月改善不足；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎
253,2354,鴻準,TWSE,其他電子業,等待轉強,52,100,56.4,56.4,10.66,-21.9,1.48,29.41,278.46,0.47,26.73,0.75,2.66,6,2,4,4,14,-1,0,734,597,3698,10.19,1038,903,4740,-10282,721,773,3600,48.06,-0.74,-0.88,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
254,7750,新代,TWSE,電機機械,等待轉強,51.8,100,1990,1955,151.4,81.37,25.78,43.96,234.83,15.38,49.65,12.5,0.8,4,0,0,0,-17,-16,0,0,-118,-86,17.85,2,-104,-65,104,0,-109,-63,40.87,-5.93,-3.63,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
255,4766,南寶,TWSE,化學工業,等待轉強,51.3,100,337.5,339,12.82,9.33,17.63,50.01,191.82,6.55,16.26,3.12,5.33,5,-1,-1,-1,376,353,0,-33,-704,376,15.47,-71,-576,-21,1549,-34,-677,21,38.77,-4.01,-5.99,中期趨勢仍向下；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
256,9917,中保科,TWSE,其他,等待轉強,51.2,100,107,108,2.56,1.63,17.61,52.85,112.37,1.6,15.78,3.32,5.79,6,122,126,354,487,971,0,242,617,403,38.91,128,299,-5,-4144,124,260,-83,41.22,-1.5,1.9,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
257,1477,聚陽,TWSE,紡織纖維,等待轉強,51.1,100,217,219.5,0.53,-3.12,15.48,46.49,162,4.35,15.67,4.12,6.91,15,15,297,870,3503,-5234,120,-457,-236,3752,19.4,-618,-1556,-436,7283,-452,-1043,226,44.84,-2.39,-6.26,累計營收負成長且當月改善不足；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
258,2436,偉詮電,TWSE,半導體業,等待轉強,50.8,100,62.8,61.2,18.28,28.04,13.67,31.86,264.43,0.7,18.64,2.85,3.12,2,0,0,0,0,82,0,-237,-3296,713,11.79,-610,-3062,1241,3539,-254,-2855,1332,37.49,-10.05,-10.67,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
259,6442,光聖,TWSE,通信網路業,等待轉強,50.7,100,1430,1350,1.65,27.4,26.4,53.24,215.86,7.82,53.94,15.8,0.79,10,7,34,35,157,-420,33,-352,726,981,34.19,-231,2577,2577,1625,-235,1146,1278,37.22,-11.79,-7.14,中期趨勢仍向下；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
260,3714,富采,TWSE,光電業,等待轉強,50.6,100,60.5,57.7,18.97,1.73,-5.84,18.47,365.22,-0.2,,1.07,1.49,2,0,0,0,0,0,0,-430,3073,328,11.83,-1220,3978,8031,10415,-506,2962,111,41.83,-5,-1.31,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
